OBJECTID_1,FID_1,NCESID,NAME,ADDRESS,CITY,COUNTY,STATE,ZIP,TELEPHONE,NAICS_CODE,NAICS_DESC,LEVEL_,TYPE,STATUS,POPULATION,ENROLLMENT,FULL_TIME_,START_GRAD,END_GRADE,precinct
618,102672,360008706297,ACAD-PERSONAL LDSHP AND EXCELLENCE,120 EAST 184TH ST,BRONX,BRONX COUNTY,NY,10468,NOT AVAILABLE,611110,Elementary and Secondary Schools,Unknown,5,4,23,-2,23,N,N,46
619,55159,360008802312,PS 78 ANNE HUTCHINSON,1400 NEEDHAM AVE,BRONX,BRONX COUNTY,NY,10469,(718) 652-1244,611110,Elementary and Secondary Schools,Primary,1,1,803,753,50,KG,05,47
620,55250,360008805800,THE FORWARD SCHOOL,3710 BARNES AVE,BRONX,BRONX COUNTY,NY,10467,(718) 652-0519,611110,Elementary and Secondary Schools,Middle,1,1,261,239,22,06,08,47
621,55374,360008805969,SCHOOL OF DIPLOMACY,3710 BARNES AVE,BRONX,BRONX COUNTY,NY,10467,(718) 994-1028,611110,Elementary and Secondary Schools,Middle,1,1,425,391,34,06,08,47
622,55595,360008802100,PS 19 JUDITH K WEISS,4318 KATONAH AVE,BRONX,BRONX COUNTY,NY,10470,(718) 324-1924,611110,Elementary and Secondary Schools,Primary,1,1,536,503,33,KG,08,47
623,55664,360008805568,BRONX AEROSPACE HIGH SCHOOL,800 EAST GUN HILL RD,BRONX,BRONX COUNTY,NY,10467,(718) 696-6010,611110,Elementary and Secondary Schools,High,1,1,438,417,21,09,12,47
624,55668,360008805681,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION AR,800 EAST GUN HILL RD,BRONX,BRONX COUNTY,NY,10467,(718) 944-5660,611110,Elementary and Secondary Schools,High,1,1,437,415,22,09,12,47
625,55670,360008805684,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,800 EAST GUN HILL RD,BRONX,BRONX COUNTY,NY,10467,(718) 696-3930,611110,Elementary and Secondary Schools,High,1,1,576,548,28,09,12,47
626,55672,360008805686,BRONX ACADEMY OF HEALTH CAREERS,800 EAST GUN HILL RD,BRONX,BRONX COUNTY,NY,10467,(718) 696-3340,611110,Elementary and Secondary Schools,High,1,1,503,477,26,09,12,47
627,55839,360008802092,PS 16 WAKEFIELD,4550 CARPENTER AVE,BRONX,BRONX COUNTY,NY,10470,(718) 324-1262,611110,Elementary and Secondary Schools,Primary,1,1,614,575,39,PK,05,47
628,55843,360008802282,PS 68,4011 MONTICELLO AVE,BRONX,BRONX COUNTY,NY,10466,(718) 324-2854,611110,Elementary and Secondary Schools,Primary,1,1,870,794,76,PK,05,47
629,55850,360008802336,PS 87,1935 BUSSING AVE,BRONX,BRONX COUNTY,NY,10466,(718) 324-5188,611110,Elementary and Secondary Schools,Primary,1,1,593,560,33,KG,05,47
630,55858,360008802517,MS 142 JOHN PHILIP SOUSA,3750 BAYCHESTER AVE,BRONX,BRONX COUNTY,NY,10466,(718) 231-0100,611110,Elementary and Secondary Schools,Middle,1,1,620,575,45,06,08,47
631,55866,360008805543,HIGH SCHOOL OF CONTEMPORARY ARTS,800 EAST GUN HILL RD,BRONX,BRONX COUNTY,NY,10467,(718) 944-5610,611110,Elementary and Secondary Schools,High,1,1,498,475,23,09,12,47
632,55870,360008805683,BRONX LAB SCHOOL,800 EAST GUN HILL RD,BRONX,BRONX COUNTY,NY,10467,(718) 696-3700,611110,Elementary and Secondary Schools,High,1,1,512,481,31,09,12,47
633,55872,360008805801,YOUNG SCHOLARS ACADEMY OF THE BRONX,3710 BARNES AVE,BRONX,BRONX COUNTY,NY,10467,(718) 325-5834,611110,Elementary and Secondary Schools,Middle,1,1,380,353,27,06,08,47
634,55874,360008805802,GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH,3710 BARNES AVE,BRONX,BRONX COUNTY,NY,10467,(718) 994-1395,611110,Elementary and Secondary Schools,Middle,1,1,467,429,38,06,08,47
635,55879,360008805971,CORNERSTONE ACADEMY FOR SOCIAL ACTION,3441 STEENWICK AVE,BRONX,BRONX COUNTY,NY,10475,(718) 794-6160,611110,Elementary and Secondary Schools,Primary,1,1,428,397,31,PK,05,47
636,55881,360008905554,BRONX CHARTER SCHOOL FOR BETTER LEARNING,3740 BAYCHESTER AVE ANNEX,BRONX,BRONX COUNTY,NY,10466,(718) 655-6660,611110,Elementary and Secondary Schools,Primary,1,1,420,386,34,KG,05,47
637,55892,360008802111,PS 21 PHILIP H SHERIDAN,715 EAST 225TH ST,BRONX,BRONX COUNTY,NY,10466,(718) 652-3903,611110,Elementary and Secondary Schools,Primary,1,1,900,842,58,KG,05,47
638,55895,360008802185,PS 41 GUN HILL ROAD,3352 OLINVILLE AVE,BRONX,BRONX COUNTY,NY,10467,(718) 652-3461,611110,Elementary and Secondary Schools,Primary,1,1,940,875,65,KG,05,47
639,55898,360008802389,PS 103 HECTOR FONTANEZ,4125 CARPENTER AVE,BRONX,BRONX COUNTY,NY,10466,(718) 655-0261,611110,Elementary and Secondary Schools,Primary,1,1,1174,1096,78,KG,05,47
640,55901,360008802417,PS 111 SETON FALLS,3740 BAYCHESTER AVE,BRONX,BRONX COUNTY,NY,10466,(718) 881-2418,611110,Elementary and Secondary Schools,Primary,1,1,744,687,57,PK,05,47
641,55904,360008802419,PS 112 BRONXWOOD,1925 SCHEIFFELIN AVE,BRONX,BRONX COUNTY,NY,10466,(718) 654-6377,611110,Elementary and Secondary Schools,Primary,1,1,523,483,40,PK,05,47
642,58912,360013500554,PS 723,3540 BIVONA ST,BRONX,BRONX COUNTY,NY,10475,(718) 320-1222,611110,Elementary and Secondary Schools,Other,2,1,562,471,91,KG,12,47
643,98281,360008805810,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,921 EAST 228TH ST,BRONX,BRONX COUNTY,NY,10466,(718) 696-3840,611110,Elementary and Secondary Schools,Other,1,1,638,605,33,06,12,47
644,97946,360008806107,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO,3441 STEENWICK AVE,BRONX,BRONX COUNTY,NY,10475,NOT AVAILABLE,611110,Elementary and Secondary Schools,Middle,5,1,268,253,15,06,08,47
645,97953,360008806144,BAYCHESTER ACADEMY,3500 EDSON AVE,BRONX,BRONX COUNTY,NY,10466,NOT AVAILABLE,611110,Elementary and Secondary Schools,Primary,5,1,304,287,17,PK,03,47
646,102688,360008806249,BAYCHESTER MIDDLE SCHOOL,3750 BAYCHESTER AVE,BRONX,BRONX COUNTY,NY,10466,NOT AVAILABLE,611110,Elementary and Secondary Schools,Middle,5,3,107,98,9,06,06,47
647,102702,360008806259,ONE WORLD MIDDLE SCHOOL AT EDENWALD,3750 BAYCHESTER AVE,BRONX,BRONX COUNTY,NY,10466,NOT AVAILABLE,611110,Elementary and Secondary Schools,Middle,5,3,126,118,8,06,06,47
648,55167,360008703794,IS 254,2452 WASHINGTON AVE,BRONX,BRONX COUNTY,NY,10458,(718) 220-8700,611110,Elementary and Secondary Schools,Middle,1,1,450,421,29,06,08,48
649,55173,360008702691,PS 205 FIORELLO LAGUARDIA,2475 SOUTHERN BLVD,BRONX,BRONX COUNTY,NY,10458,(718) 584-6390,611110,Elementary and Secondary Schools,Primary,1,1,1104,1027,77,KG,05,48
650,55181,360008705138,PS 59 THE COMMUNITY SCHOOL OF TECHNOLOGY,2185 BATHGATE AVE,BRONX,BRONX COUNTY,NY,10457,(718) 584-4730,611110,Elementary and Secondary Schools,Primary,1,1,623,575,48,PK,05,48
651,55182,360008705182,BELMONT PREPERATORY HIGH SCHOOL,500 EAST FORDHAM RD,BRONX,BRONX COUNTY,NY,10458,(718) 733-4559,611110,Elementary and Secondary Schools,High,1,1,437,408,29,09,12,48
652,55190,360008700130,PS 23 THE NEW CHILDREN S SCHOOL,2151 WASHINGTON AVE,BRONX,BRONX COUNTY,NY,10457,(718) 584-3992,611110,Elementary and Secondary Schools,Primary,1,1,565,520,45,PK,03,48
653,55191,360008602250,PS 58,459 EAST 176TH ST,BRONX,BRONX COUNTY,NY,10457,(718) 583-6866,611110,Elementary and Secondary Schools,Primary,1,1,482,441,41,KG,05,48
654,55192,360008705183,FORDHAM HIGH SCHOOL FOR THE ARTS,500 EAST FORDHAM RD,BRONX,BRONX COUNTY,NY,10458,(718) 733-4656,611110,Elementary and Secondary Schools,High,1,1,410,385,25,09,12,48
655,55202,360008701958,GRACE H DODGE CAREER AND TECHNICAL HIGH SCHOOL,2474 CROTONA AVE,BRONX,BRONX COUNTY,NY,10458,(718) 584-2700,611110,Elementary and Secondary Schools,High,3,1,1224,1160,64,09,12,48
656,55204,360008705184,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNO,500 EAST FORDHAM RD,BRONX,BRONX COUNTY,NY,10458,(718) 733-5024,611110,Elementary and Secondary Schools,High,1,1,478,449,29,09,12,48
657,55213,360008705185,BRONX HIGH SCHOOL LAW AND COMMUNITY SERVICES,500 EAST FORDHAM RD,BRONX,BRONX COUNTY,NY,10458,(718) 733-5274,611110,Elementary and Secondary Schools,High,1,1,462,432,30,09,12,48
658,55216,360008702150,PS 32 BELMONT,690 EAST 183RD ST,BRONX,BRONX COUNTY,NY,10458,(718) 584-3645,611110,Elementary and Secondary Schools,Primary,1,1,812,751,61,KG,05,48
659,55225,360009002477,PS 129 TWINS PARKS UPPER,2055 MAPES AVE,BRONX,BRONX COUNTY,NY,10460,(718) 933-5976,611110,Elementary and Secondary Schools,Middle,1,1,599,562,37,06,08,48
660,55236,360009004878,"IS 318 MATH, SCIENCE AND TECH THROUGH ARTS SCHOOL",1919 PROSPECT AVE,BRONX,BRONX COUNTY,NY,10457,(718) 294-8504,611110,Elementary and Secondary Schools,Middle,1,1,412,385,27,06,08,48
661,55249,360009002706,PS 211,1919 PROSPECT AVE,BRONX,BRONX COUNTY,NY,10457,(718) 901-0436,611110,Elementary and Secondary Schools,Primary,1,1,722,675,47,PK,08,48
662,55266,360009001332,WINGS ACADEMY,1122 EAST 180TH ST,BRONX,BRONX COUNTY,NY,10460,(718) 597-1751,611110,Elementary and Secondary Schools,High,1,1,561,532,29,09,12,48
663,55274,360009002194,PS 44 DAVID C FARRAGUT,1825 PROSPECT AVE,BRONX,BRONX COUNTY,NY,10457,(718) 583-2360,611110,Elementary and Secondary Schools,Primary,1,1,354,326,28,PK,05,48
664,55302,360009005690,FREDERICK DOUGLAS ACADEMY V MIDDLE SCHOOL,2111 CROTONA AVE,BRONX,BRONX COUNTY,NY,10457,(718) 561-1617,611110,Elementary and Secondary Schools,Middle,1,1,269,250,19,06,08,48
665,55309,360009005805,MOTT HALL V,1551 EAST 172ND ST,BRONX,BRONX COUNTY,NY,10472,(718) 620-8160,611110,Elementary and Secondary Schools,Other,1,1,515,476,39,06,10,48
666,55346,360008602751,PS 236 LANGSTON HUGHES,499 EAST 175TH ST,BRONX,BRONX COUNTY,NY,10457,(718) 583-7510,611110,Elementary and Secondary Schools,Primary,1,1,440,407,33,PK,02,48
667,55347,360009005691,KNOWLEDGE AND POWER PREPARATORY ACADEMY III,2055 MAPES AVE,BRONX,BRONX COUNTY,NY,10460,(718) 561-3580,611110,Elementary and Secondary Schools,Middle,1,1,341,323,18,06,08,48
668,55357,360009005692,ACCION ACADEMY,1825 PROSPECT AVE,BRONX,BRONX COUNTY,NY,10457,(718) 294-0514,611110,Elementary and Secondary Schools,Middle,1,1,210,193,17,06,08,48
669,55379,360009000227,PS 214,1970 WEST FARMS RD,BRONX,BRONX COUNTY,NY,10460,(718) 589-6728,611110,Elementary and Secondary Schools,Primary,1,1,1043,974,69,PK,08,48
670,55387,360009002350,PS 92,700 EAST 179TH ST,BRONX,BRONX COUNTY,NY,10457,(718) 731-7900,611110,Elementary and Secondary Schools,Primary,1,1,578,538,40,PK,05,48
671,55396,360009002245,PS 57 CRESCENT,2111 CROTONA AVE,BRONX,BRONX COUNTY,NY,10457,(718) 367-9446,611110,Elementary and Secondary Schools,Primary,1,1,534,498,36,PK,05,48
672,55407,360013504469,PS 188,770 GROTE ST,BRONX,BRONX COUNTY,NY,10460,(718) 561-2052,611110,Elementary and Secondary Schools,Other,2,1,580,468,112,PK,10,48
673,55408,360009002279,PS 67 MOHEGAN SCHOOL,2024 MOHEGAN AVE,BRONX,BRONX COUNTY,NY,10460,(718) 589-8090,611110,Elementary and Secondary Schools,Primary,1,1,775,724,51,PK,05,48
674,55433,360009005807,SCHOOL OF SCIENCE AND APPLIED LEARNING,2050 PROSPECT AVE,BRONX,BRONX COUNTY,NY,10457,(718) 584-6310,611110,Elementary and Secondary Schools,Primary,1,1,649,609,40,PK,05,48
675,55535,360008704353,PS 159 LUIS MUMOZ MARIN BILING,2315 WASHINGTON AVE,BRONX,BRONX COUNTY,NY,10457,(718) 584-6140,611110,Elementary and Secondary Schools,Primary,1,1,226,205,21,KG,05,48
676,55556,360008705137,PS 3 RAUL JULIA MICRO SOCIETY,2100 LA FONTAINE AVE,BRONX,BRONX COUNTY,NY,10457,(718) 584-1899,611110,Elementary and Secondary Schools,Primary,1,1,444,410,34,PK,08,48
677,55570,360008705674,WEST BRONX ACADEMY FOR THE FUTURE,500 EAST FORDHAM RD,BRONX,BRONX COUNTY,NY,10458,(718) 563-7139,611110,Elementary and Secondary Schools,Other,1,1,681,636,45,06,12,48
678,55573,360008705760,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH,560 EAST 179TH ST,BRONX,BRONX COUNTY,NY,10455,(718) 294-0230,611110,Elementary and Secondary Schools,High,4,1,221,209,12,09,12,48
679,55589,360008705943,KNOWLEDGE AND POWER PREP ACADEMY INTERNATIONAL HIG,500 EAST FORDHAM RD,BRONX,BRONX COUNTY,NY,10458,(718) 933-1247,611110,Elementary and Secondary Schools,High,1,1,348,322,26,09,12,48
680,55877,360008702440,JHS 118 WILLIAM W NILES,577 EAST 179TH ST,BRONX,BRONX COUNTY,NY,10457,(718) 584-2330,611110,Elementary and Secondary Schools,Middle,1,1,1229,1165,64,06,08,48
681,55932,360009002059,PS 6 WEST FARMS,1000 EAST TREMONT AVE,BRONX,BRONX COUNTY,NY,10460,(718) 542-7676,611110,Elementary and Secondary Schools,Primary,1,1,779,731,48,PK,05,48
682,55968,360008702202,THOMAS C GIORDANO MIDDLESCHOOL 45,2502 LORILLARD PLACE,BRONX,BRONX COUNTY,NY,10458,(718) 584-1660,611110,Elementary and Secondary Schools,Middle,1,1,1042,978,64,06,08,48
683,95943,360096806074,BRONX COMMUNITY CHARTER SCHOOL,2348 WEBSTER AVE 1ST FL,BRONX,BRONX COUNTY,NY,10458,(718) 584-1400,611110,Elementary and Secondary Schools,Primary,1,1,277,255,22,KG,04,48
684,98308,360009005970,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,2024 MOHEGAN AVE,BRONX,BRONX COUNTY,NY,10460,(718) 991-2695,611110,Elementary and Secondary Schools,Other,1,1,424,396,28,06,10,48
685,102509,360008706247,CROTONA INTERNATIONAL HIGH SCHOOL,2474 CROTONA AVE,BRONX,BRONX COUNTY,NY,10458,NOT AVAILABLE,611110,Elementary and Secondary Schools,Other,5,3,90,85,5,09,09,48
686,55264,360008805880,ASPIRE PREPARATORY MIDDLE SCHOOL,2441 WALLACE AVE,BRONX,BRONX COUNTY,NY,10467,(718) 231-6592,611110,Elementary and Secondary Schools,Middle,1,1,427,394,33,06,08,49
687,55362,360008805953,BRONX GREEN MIDDLE SCHOOL,2441 WALLACE AVE,BRONX,BRONX COUNTY,NY,10467,(718) 325-6593,611110,Elementary and Secondary Schools,Middle,1,1,383,357,26,06,08,49
688,55370,360008802323,PS 83 DONALD HERTZ,950 RHINELANDER AVE,BRONX,BRONX COUNTY,NY,10462,(718) 863-1993,611110,Elementary and Secondary Schools,Primary,1,1,1819,1718,101,KG,08,49
689,55542,360013501923,PS 721 STEVEN MCSWEENEY SCHOOL,2697 WESTCHESTER AVE,BRONX,BRONX COUNTY,NY,10461,(718) 597-6404,611110,Elementary and Secondary Schools,Other,2,1,590,511,79,06,12,49
690,55590,360008801935,CHRISTOPHER COLUMBUS HIGH SCHOOL,925 ASTOR AVE,BRONX,BRONX COUNTY,NY,10469,(718) 944-3400,611110,Elementary and Secondary Schools,High,1,1,789,749,40,09,12,49
691,55599,360008802404,PS 108 PHILIP J ABINANTI,1166 NEILL AVE,BRONX,BRONX COUNTY,NY,10461,(718) 863-9829,611110,Elementary and Secondary Schools,Primary,1,1,623,586,37,KG,05,49
692,55610,360008805685,COLLEGIATE INSTITUTE FOR MATH AND SCIENCE,925 ASTOR AVE,BRONX,BRONX COUNTY,NY,10469,(718) 944-3635,611110,Elementary and Secondary Schools,High,1,1,570,543,27,09,12,49
693,55614,360008802342,PS 89,980 MACE AVE,BRONX,BRONX COUNTY,NY,10469,(718) 653-0835,611110,Elementary and Secondary Schools,Primary,1,1,1402,1314,88,PK,08,49
694,55616,360008802364,PS 96 RICHARD RODGERS,650 WARING AVE,BRONX,BRONX COUNTY,NY,10467,(718) 652-4959,611110,Elementary and Secondary Schools,Primary,1,1,1125,1055,70,KG,05,49
695,55654,360008802368,PS 97,1375 MACE AVE,BRONX,BRONX COUNTY,NY,10469,(718) 655-4446,611110,Elementary and Secondary Schools,Primary,1,1,807,755,52,PK,05,49
696,55656,360008802394,PS 105 SENATOR ABRAHAM BERNSTEIN,725 BRADY AVE,BRONX,BRONX COUNTY,NY,10462,(718) 824-7350,611110,Elementary and Secondary Schools,Primary,1,1,1621,1517,104,KG,05,49
697,55658,360008802524,JHS 144 MICHELANGELO,2545 GUNTHER AVE,BRONX,BRONX COUNTY,NY,10469,(718) 379-7400,611110,Elementary and Secondary Schools,Middle,1,1,1013,952,61,06,08,49
698,55660,360008805179,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,2040 ANTIN PLACE,BRONX,BRONX COUNTY,NY,10462,(718) 319-5160,611110,Elementary and Secondary Schools,High,1,1,503,480,23,09,12,49
699,55661,360008805559,GLOBAL ENTERPRISE HIGH SCHOOL,925 ASTOR AVE,BRONX,BRONX COUNTY,NY,10469,(718) 944-3548,611110,Elementary and Secondary Schools,High,1,1,287,271,16,09,12,49
700,55846,360008802306,PS 76 THE BENNINGTON SCHOOL,900 ADEE AVE,BRONX,BRONX COUNTY,NY,10469,(718) 882-8865,611110,Elementary and Secondary Schools,Primary,1,1,1113,1045,68,KG,05,49
701,55855,360008802450,PS 121 THROOP,2750 THROOP AVE,BRONX,BRONX COUNTY,NY,10469,(718) 654-2055,611110,Elementary and Secondary Schools,Primary,1,1,1070,1011,59,PK,05,49
702,55863,360008805541,PELHAM PREPARATORY ACADEMY,925 ASTOR AVE,BRONX,BRONX COUNTY,NY,10469,(718) 944-3401,611110,Elementary and Secondary Schools,High,1,1,532,506,26,09,12,49
703,55871,360008805687,ASTOR COLLEGIATE ACADEMY,925 ASTOR AVE,BRONX,BRONX COUNTY,NY,10469,(718) 944-3419,611110,Elementary and Secondary Schools,High,1,1,526,497,29,09,12,49
704,55875,360008805803,NEW WORLD HIGH SCHOOL,921 EAST 228TH ST,BRONX,BRONX COUNTY,NY,10466,(718) 696-3800,611110,Elementary and Secondary Schools,High,1,1,423,402,21,09,12,49
705,55878,360008805804,THE BRONX PREPARATORY ACADEMY,921 EAST 228TH ST,BRONX,BRONX COUNTY,NY,10466,(718) 696-3820,611110,Elementary and Secondary Schools,High,1,1,434,411,23,09,12,49
706,100818,360008806217,PS MS 498 VAN NEST ACADEMY,1640 BRONXDALE AVE,BRONX,BRONX COUNTY,NY,10462,(718) 409-3001,611110,Elementary and Secondary Schools,Primary,1,1,368,348,20,KG,07,49
707,97951,360008806129,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEME,2441 WALLACE AVE,BRONX,BRONX COUNTY,NY,10467,NOT AVAILABLE,611110,Elementary and Secondary Schools,Middle,5,1,346,323,23,06,08,49
708,102682,360008806245,HIGH SCHOOL FOR LANGUAGE AND INNOVATION,925 ASTOR AVE,BRONX,BRONX COUNTY,NY,10469,NOT AVAILABLE,611110,Elementary and Secondary Schools,Other,5,3,84,76,8,09,09,49
709,102714,360008806270,BRONXDALE HIGH SCHOOL,925 ASTOR AVE,BRONX,BRONX COUNTY,NY,10469,NOT AVAILABLE,611110,Elementary and Secondary Schools,Other,5,3,102,93,9,09,09,49
710,102951,360104906265,ICAHN CHARTER SCHOOL 5,1500 PELHAM PARKWAY SOUTH,BRONX,BRONX COUNTY,NY,10461,(718) 828-0034,611110,Elementary and Secondary Schools,Primary,1,3,8,-1,8,KG,02,49
711,55243,360008702513,RIVERDALE KINGSBRIDGE ACADEMY (MS HS 141),660 WEST 237TH ST,BRONX,BRONX COUNTY,NY,10463,(718) 796-8516,611110,Elementary and Secondary Schools,Other,1,1,1412,1336,76,06,12,50
712,55349,360016305923,INTERNATIONAL LEADERSHIP CHARTER SCHOOL,2900 EXTERIOR ST FL 1R,BRONX,BRONX COUNTY,NY,10463,(212) 437-8361,611110,Elementary and Secondary Schools,High,1,1,344,322,22,09,12,50
713,55541,360008704473,IN TECH ACADEMY AKA MS HS 368,2975 TIBBETTS AVE,BRONX,NEW YORK COUNTY,NY,10463,(718) 432-4300,611110,Elementary and Secondary Schools,Other,1,1,1187,1124,63,06,12,50
714,55547,360008704693,PS 207,3030 GODWIN TER,BRONX,BRONX COUNTY,NY,10463,(718) 796-9645,611110,Elementary and Secondary Schools,Primary,1,1,434,408,26,PK,02,50
715,55594,360008705993,AMPARK NEIGHBORHOOD,3961B HILLMAN AVE,BRONX,BRONX COUNTY,NY,10463,(718) 548-3451,611110,Elementary and Secondary Schools,Primary,1,1,284,268,16,KG,05,50
716,55598,360008701304,PS 37 MULTIPLE INTELLIGENCE SCHOOL,360 WEST 230TH ST,BRONX,BRONX COUNTY,NY,10463,(718) 796-0360,611110,Elementary and Secondary Schools,Primary,1,1,665,622,43,KG,08,50
717,55607,360008702121,PS 24 SPUYTEN DUYVIL,660 WEST 236TH ST,BRONX,BRONX COUNTY,NY,10463,(718) 796-8845,611110,Elementary and Secondary Schools,Primary,1,1,942,886,56,KG,05,50
718,55611,360008702318,PS 81 ROBERT J CHRISTEN,5550 RIVERDALE AVE,BRONX,BRONX COUNTY,NY,10471,(718) 796-8965,611110,Elementary and Secondary Schools,Primary,1,1,678,635,43,KG,05,50
719,55640,360008702060,PS 7 KINGSBRIDGE,3201 KINGSBRIDGE AVE,BRONX,BRONX COUNTY,NY,10463,(718) 796-8695,611110,Elementary and Secondary Schools,Primary,1,1,609,567,42,KG,05,50
720,55782,360008702361,PS 95 SHEILA MENCHER,3961 HILLMAN AVE,BRONX,BRONX COUNTY,NY,10463,(718) 796-9200,611110,Elementary and Secondary Schools,Primary,1,1,1308,1229,79,PK,08,50
721,55793,360008703805,PS 360,2880 KINGSBRIDGE TER,BRONX,BRONX COUNTY,NY,10463,(718) 548-1511,611110,Elementary and Secondary Schools,Primary,1,1,540,506,34,PK,06,50
722,55816,360008705190,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,2925 GOULDEN AVE,BRONX,BRONX COUNTY,NY,10468,(718) 329-2144,611110,Elementary and Secondary Schools,High,1,1,401,377,24,09,12,50
723,55819,360008705550,PS 307 EAMES PLACE,124 EAMES PLACE,BRONX,BRONX COUNTY,NY,10468,(718) 601-2632,611110,Elementary and Secondary Schools,Primary,1,1,367,349,18,PK,05,50
724,55828,360008705676,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,99 TERRACE VIEW AVE,BRONX,NEW YORK COUNTY,NY,10458,(718) 563-6678,611110,Elementary and Secondary Schools,High,1,1,469,439,30,09,12,50
725,55832,360008705797,JONAS BRONCK ACADEMY,400 EAST FORDHAM RD,BRONX,BRONX COUNTY,NY,10458,(718) 365-2502,611110,Elementary and Secondary Schools,Middle,1,1,270,251,19,06,08,50
726,55836,360008705798,NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,120 WEST 231ST ST,BRONX,BRONX COUNTY,NY,10463,(718) 601-2869,611110,Elementary and Secondary Schools,Middle,1,1,696,649,47,06,08,50
727,55873,360008705677,"MARIE CURIE HIGH SCH NURSING, MEDICINE AND APPLIED",120 WEST 231ST ST,BRONX,BRONX COUNTY,NY,10463,(718) 432-6491,611110,Elementary and Secondary Schools,High,1,1,569,540,29,09,12,50
728,57737,360008705496,BRONX THEATRE HIGH SCHOOL,99 TERRACE VIEW AVE,BRONX,NEW YORK COUNTY,NY,10463,(718) 329-2902,611110,Elementary and Secondary Schools,High,1,1,475,447,28,09,12,50
729,57786,360008702016,JOHN F KENNEDY HIGH SCHOOL,99 TERRACE VIEW AVE 4TH FL,BRONX,NEW YORK COUNTY,NY,10463,(718) 817-7400,611110,Elementary and Secondary Schools,Other,1,1,748,711,37,03,12,50
730,57939,360008705188,MARBLE HILL HIGH SCHOOL OF INTERNATIONAL STUDIES,99 TERRACE VIEW AVE,BRONX,NEW YORK COUNTY,NY,10463,(718) 561-0973,611110,Elementary and Secondary Schools,High,1,1,488,455,33,09,12,50
731,57941,360008705678,BRONX SCHOOL OF LAW AND FINANCE,99 TERRACE VIEW AVE,BRONX,NEW YORK COUNTY,NY,10463,(718) 561-0113,611110,Elementary and Secondary Schools,High,1,1,447,422,25,09,12,50
732,95812,360008706010,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPOR,99 TERRACE VIEW AVE,BRONX,NEW YORK COUNTY,NY,10463,(718) 220-1889,611110,Elementary and Secondary Schools,High,1,1,330,311,19,09,12,50
733,100786,360102606235,KINGSBRIDGE INNOVATIVE DESIGN CHARTER SCHOOL,3120 CORLEAR AVE1ST FL,BRONX,BRONX COUNTY,NY,10463,(917) 858-1191,611110,Elementary and Secondary Schools,Unknown,1,2,0,-2,-2,KG,01,50
734,102885,360104106263,THE NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANI,99 TERRACE VIEW AVE,BRONX,NEW YORK COUNTY,NY,10463,(718) 817-7686,611110,Elementary and Secondary Schools,Other,1,3,134,127,7,09,09,50
735,102924,360104706254,NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCED MATH,99 TERRACE VIEW AVE RM 254,BRONX,NEW YORK COUNTY,NY,10463,(718) 817-7683,611110,Elementary and Secondary Schools,Other,1,3,133,126,7,09,09,50
736,55161,360008701748,PS 15 INSTITUTE FOR ENVIRONMENTAL LEARNING,2195 ANDREWS AVE,BRONX,BRONX COUNTY,NY,10453,(718) 563-0473,611110,Elementary and Secondary Schools,Primary,1,1,585,550,35,KG,08,52
737,55166,360008702357,PS 94 KINGS COLLEGE SCHOOL,3530 KINGS COLLEGE PLACE,BRONX,BRONX COUNTY,NY,10467,(718) 405-6345,611110,Elementary and Secondary Schools,Primary,1,1,1233,1163,70,KG,05,52
738,55221,360008702179,PS 20 GEORGE J WERDAN III,3050 WEBSTER AVE,BRONX,BRONX COUNTY,NY,10458,(718) 515-9370,611110,Elementary and Secondary Schools,Primary,1,1,1151,1084,67,PK,08,52
739,55230,360008702316,JHS 80 THE MOSHOLU PARKWAY,149 EAST MOSHOLU PARKWAY NORTH,BRONX,BRONX COUNTY,NY,10467,(718) 405-6300,611110,Elementary and Secondary Schools,Middle,1,1,690,647,43,06,08,52
740,55260,360008703795,PS 340,25 WEST 195TH ST,BRONX,BRONX COUNTY,NY,10468,(718) 220-1830,611110,Elementary and Secondary Schools,Primary,1,1,645,604,41,PK,06,52
741,55415,360013502224,PS 168,339 MORRIS AVE,BRONX,BRONX COUNTY,NY,10451,(718) 585-2100,611110,Elementary and Secondary Schools,Other,2,1,521,430,91,PK,12,52
